0.00,0.0000
0.50,-0.5053
1.00,-1.1382
1.50,-1.8307
2.00,-2.5136
2.50,-3.1454
3.00,-3.7174
3.50,-4.2377
4.00,-4.7123
4.50,-5.1397
5.00,-5.5180
5.50,-5.8509
6.00,-6.1446
6.50,-6.4006
7.00,-6.6167
7.50,-6.7940
8.00,-6.9399
8.50,-7.0653
9.00,-7.1784
9.50,-7.2875
10.00,-7.4038
10.50,-7.5349
11.00,-7.6771
11.50,-7.8152
12.00,-7.9376
12.50,-8.0467
13.00,-8.1539
13.50,-8.2665
14.00,-8.3821
14.50,-8.4936
15.00,-8.5987
15.50,-8.7017
16.00,-8.8100
16.50,-8.9280
17.00,-9.0547
17.50,-9.1840
18.00,-9.3085
18.50,-9.4218
19.00,-9.5208
19.50,-9.6057
20.00,-9.6812
20.50,-9.7522
21.00,-9.8179
21.50,-9.8690
22.00,-9.8961
22.50,-9.9010
23.00,-9.8980
23.50,-9.9055
24.00,-9.9375
24.50,-9.9991
25.00,-10.0869
25.50,-10.1901
26.00,-10.2942
26.50,-10.3861
27.00,-10.4576
27.50,-10.5063
28.00,-10.5380
28.50,-10.5690
29.00,-10.6201
29.50,-10.7028
30.00,-10.8084
30.50,-10.9129
31.00,-10.9927
31.50,-11.0395
32.00,-11.0627
32.50,-11.0790
33.00,-11.0993
33.50,-11.1240
34.00,-11.1473
34.50,-11.1660
35.00,-11.1810
35.50,-11.1933
36.00,-11.2031
36.50,-11.2130
37.00,-11.2292
37.50,-11.2573
38.00,-11.2987
38.50,-11.3525
39.00,-11.4164
39.50,-11.4854
40.00,-11.5493
40.50,-11.5983
41.00,-11.6311
41.50,-11.6568
42.00,-11.6891
42.50,-11.7388
43.00,-11.8090
43.50,-11.8934
44.00,-11.9757
44.50,-12.0350
45.00,-12.0575
45.50,-12.0456
46.00,-12.0160
46.50,-11.9883
47.00,-11.9736
47.50,-11.9725
48.00,-11.9814
48.50,-11.9983
49.00,-12.0220
49.50,-12.0499
50.00,-12.0807
50.50,-12.1182
51.00,-12.1697
51.50,-12.2375
52.00,-12.3124
52.50,-12.3763
53.00,-12.4147
53.50,-12.4271
54.00,-12.4258
54.50,-12.4220
55.00,-12.4157
55.50,-12.3996
56.00,-12.3715
56.50,-12.3398
57.00,-12.3174
57.50,-12.3127
58.00,-12.3264
58.50,-12.3564
59.00,-12.4035
59.50,-12.4723
60.00,-12.5627
60.50,-12.6609
61.00,-12.7413
61.50,-12.7829
62.00,-12.7847
62.50,-12.7654
63.00,-12.7454
63.50,-12.7302
64.00,-12.7103
64.50,-12.6750
65.00,-12.6267
65.50,-12.5825
66.00,-12.5656
66.50,-12.5924
67.00,-12.6634
67.50,-12.7621
68.00,-12.8648
68.50,-12.9536
69.00,-13.0228
69.50,-13.0742
70.00,-13.1065
70.50,-13.1128
71.00,-13.0895
71.50,-13.0512
72.00,-13.0311
72.50,-13.0612
73.00,-13.1488
73.50,-13.2718
74.00,-13.3964
74.50,-13.4984
75.00,-13.5688
75.50,-13.6063
76.00,-13.6123
76.50,-13.5923
77.00,-13.5581
77.50,-13.5226
78.00,-13.4928
78.50,-13.4687
79.00,-13.4473
79.50,-13.4293
80.00,-13.4224
80.50,-13.4377
81.00,-13.4809
81.50,-13.5462
82.00,-13.6184
82.50,-13.6830
83.00,-13.7324
83.50,-13.7629
84.00,-13.7699
84.50,-13.7486
85.00,-13.7023
85.50,-13.6477
86.00,-13.6124
86.50,-13.6217
87.00,-13.6797
87.50,-13.7635
88.00,-13.8361
88.50,-13.8709
89.00,-13.8663
89.50,-13.8423
90.00,-13.8257
90.50,-13.8374
91.00,-13.8847
91.50,-13.9587
92.00,-14.0375
92.50,-14.0974
93.00,-14.1250
